Nr. crt.,Legitimație,Disciplina,Nota
372,1476,Informatică,7.79
785,1958,Informatică,7.79
895,2089,Informatică,7.79
968,2168,Informatică,7.79
972,2173,Informatică,7.79
1087,2308,Informatică,7.79
1188,2424,Matematică,7.79
1352,2604,Informatică,7.79
525,1662,Informatică,7.77
1311,2559,Informatică,7.77
64,1092,Informatică,7.75
88,1121,Informatică,7.75
91,1125,Informatică,7.75
97,1133,Informatică,7.75
124,1166,Matematică,7.75
189,1251,Informatică,7.75
193,1256,Informatică,7.75
310,1394,Informatică,7.75
403,1519,Matematică,7.75
419,1538,Matematică,7.75
473,1602,Informatică,7.75
504,1639,Informatică,7.75
517,1654,Informatică,7.75
637,1791,Informatică,7.75
782,1955,Informatică,7.75
835,2017,Informatică,7.75
874,2064,Informatică,7.75
880,2073,Matematică,7.75
919,2116,Informatică,7.75
936,2135,Informatică,7.75
1005,2209,Informatică,7.75
1016,2220,Informatică,7.75
1020,2224,Matematică,7.75
1044,2254,Informatică,7.75
1104,2327,Matematică,7.75
1245,2491,Matematică,7.75
1300,2547,Matematică,7.75
1437,2699,Matematică,7.75
43,1060,Informatică,7.73
183,1240,Informatică,7.73
199,1262,Informatică,7.73
960,2160,Informatică,7.73
1157,2388,Informatică,7.73
1189,2425,Informatică,7.73
1446,2709,Informatică,7.73
1132,2359,Informatică,7.71
76,1109,Informatică,7.69
539,1678,Informatică,7.69
753,1922,Matematică,7.69
760,1930,Informatică,7.69
857,2044,Informatică,7.69
1150,2380,Informatică,7.69
1235,2481,Matematică,7.69
1477,2741,Matematică,7.69
1488,2758,Informatică,7.69
303,1385,Informatică,7.68
474,1603,Informatică,7.68
589,1737,Informatică,7.68
725,1893,Informatică,7.68
771,1942,Informatică,7.68
70,1101,Informatică,7.67
619,1772,Informatică,7.67
787,1960,Informatică,7.67
820,2002,Informatică,7.67
917,2113,Informatică,7.67
1337,2587,Informatică,7.67
390,1506,Informatică,7.66
1173,2407,Informatică,7.66
903,2098,Informatică,7.65
77,1110,Informatică,7.62
131,1176,Informatică,7.62
172,1227,Matematică,7.62
549,1692,Matematică,7.62
563,1709,Matematică,7.62
628,1781,Matematică,7.62
719,1886,Informatică,7.62
808,1988,Matematică,7.62
931,2130,Informatică,7.62
1172,2406,Informatică,7.62
1379,2635,Informatică,7.62
541,1682,Informatică,7.61
1030,2237,Informatică,7.61
283,1360,Informatică,7.60
516,1653,Informatică,7.60
533,1671,Informatică,7.60
584,1732,Informatică,7.60
953,2153,Informatică,7.60
1119,2344,Informatică,7.59
1342,2592,Informatică,7.57
117,1159,Matematică,7.56
142,1188,Informatică,7.56
196,1259,Informatică,7.56
246,1317,Matematică,7.56
253,1325,Informatică,7.56
366,1468,Informatică,7.56
621,1774,Matematică,7.56
631,1784,Informatică,7.56
657,1814,Matematică,7.56
670,1829,Matematică,7.56
680,1839,Matematică,7.56
738,1906,Informatică,7.56
834,2016,Informatică,7.56
839,2021,Informatică,7.56
943,2142,Informatică,7.56
961,2161,Informatică,7.56
1010,2214,Informatică,7.56
